id,betweenness,closeness,follow,posts,interval,length,movie_posts,reposts,coapper_posts,boxoffice,fans,verifyName
2335033823,28744,0.3604,909,557,198600,31,110,77,0,0,55,黄宝极
2671471152,20009,0.3468,55,87,1118557,49,50,3,0,0,55,归亚蕾
1735029147,25456,0.3484,298,1547,99435,69,175,82,0,0,55,林熹瞳
2358486283,68971,0.4534,912,110,884883,41,24,8,0,0,55,李川
1833223487,25138,0.3708,470,921,146722,50,201,17,0,0,55,朱杰
1587588202,22417,0.3649,261,704,187018,42,168,31,0,0,55,周靖然
1804074335,23387,0.3888,289,1714,82671,53,580,93,0,0,55,魏子晴
1659289081,22261,0.3381,179,201,631907,55,51,51,0,0,55,小沈龙
1984844571,43009,0.393,323,137,825761,47,31,8,0,0,55,刘洋
1671909011,23368,0.379,225,1164,132246,51,337,432,0,10064,55,史超
2311534207,27459,0.3445,64,38,2403354,31,12,0,0,0,55,元华
1265743747,36997,0.3844,316,637,164390,38,167,41,0,0,55,李兰迪
2032025727,23632,0.3775,132,463,257858,56,219,73,0,0,55,张倩
1780190873,24388,0.382,251,547,263556,76,214,14,0,0,55,黄秋子
2360076081,47591,0.4262,600,167,588904,13,25,0,0,0,55,张彤霖
1270662493,21986,0.396,384,731,179041,47,181,5,0,0,55,普纯
1824871822,20841,0.3485,300,582,242264,37,71,13,0,0,55,向语洁
1995929563,23651,0.3869,270,977,128320,42,301,40,0,210,55,杨妍妍
1929560097,23490,0.3747,482,49,2352726,32,21,2,0,0,55,谢宇川
2180212040,40802,0.3831,435,285,314610,36,63,8,0,0,55,刘小强
1881216550,25667,0.3758,230,11,8667878,66,3,0,3,0,55,赵俊珺
1735628535,29468,0.3768,507,2639,50475,47,881,172,0,157,55,贾龙
1281002471,24447,0.372,291,1769,74494,48,401,190,0,0,55,王丁一
1224818510,29584,0.3818,551,1652,76498,54,606,93,0,0,55,金汐
1245593534,22187,0.3808,172,163,758816,43,53,15,9,30077,55,梁诗冉
2250351924,28308,0.3716,424,354,325373,40,79,27,0,0,55,陈玥
1751092192,23372,0.374,305,397,315207,40,125,12,0,0,55,马欢胤
1708255390,23707,0.3702,394,835,187891,34,133,2,0,0,55,裴殷
1804948531,22316,0.3889,251,709,199729,47,183,34,0,0,55,王瀚
1980416675,26095,0.3706,471,1654,71563,40,560,44,0,0,55,蒋雪鸣
1258295710,18332,0.3748,193,824,187074,55,272,23,0,0,55,李艳冰
1705016831,17199,0.3161,185,3500,45176,67,406,285,0,0,55,彭秀慧
2327481785,28808,0.3747,135,305,361768,32,72,36,0,0,55,皇羽轩
1890159921,21465,0.3676,206,236,548752,49,81,6,0,0,55,白瑶
